iter	Passed	Remaining
865	15856	2453
866	15871	2434
867	15889	2416
868	15903	2397
869	15922	2379
870	15937	2360
871	15953	2341
872	15967	2322
873	15983	2304
874	15999	2285
875	16014	2266
876	16031	2248
877	16047	2229
878	16065	2211
879	16081	2192
880	16099	2174
881	16115	2156
882	16132	2137
883	16149	2119
884	16165	2100
885	16182	2082
886	16199	2063
887	16215	2045
888	16232	2026
889	16248	2008
890	16265	1989
891	16282	1971
892	16298	1952
893	16314	1934
894	16330	1915
895	16345	1897
896	16361	1878
897	16379	1860
898	16396	1842
899	16411	1823
900	16427	1805
901	16442	1786
902	16461	1768
903	16478	1749
904	16493	1731
905	16510	1713
906	16527	1694
907	16545	1676
908	16564	1658
909	16579	1639
910	16595	1621
911	16611	1602
912	16627	1584
913	16646	1566
914	16664	1548
915	16680	1529
916	16697	1511
917	16713	1492
918	16732	1474
919	16749	1456
920	16766	1438
921	16782	1419
922	16799	1401
923	16815	1383
924	16831	1364
925	16849	1346
926	16866	1328
927	16882	1309
928	16898	1291
929	16916	1273
930	16931	1254
931	16947	1236
932	16964	1218
933	16981	1200
934	16997	1181
935	17015	1163
936	17033	1145
937	17047	1126
938	17065	1108
939	17081	1090
940	17096	1071
941	17112	1053
942	17127	1035
943	17144	1017
944	17158	998
945	17173	980
946	17190	962
947	17207	943
948	17223	925
949	17239	907
950	17255	889
951	17272	870
952	17287	852
953	17304	834
954	17320	816
955	17336	797
956	17351	779
957	17368	761
958	17383	743
959	17400	725
960	17416	706
961	17432	688
962	17449	670
963	17467	652
964	17481	634
965	17497	615
966	17512	597
967	17529	579
968	17545	561
969	17560	543
970	17575	524
971	17589	506
972	17608	488
973	17623	470
974	17640	452
975	17654	434
976	17669	415
977	17687	397
978	17702	379
979	17716	361
980	17730	343
981	17745	325
982	17761	307
983	17777	289
984	17793	270
985	17808	252
986	17822	234
987	17837	216
988	17852	198
989	17868	180
990	17883	162
991	17899	144
992	17913	126
993	17930	108
994	17947	90
995	17961	72
996	17980	54
997	17995	36
998	18011	18
999	18030	0
